,index,generated_output
2770,84839,The depth of the product is 3.3 inches.
2771,84840,The depth of the product is 15 inches.
2772,84841,The width of the product is 15 inches.
2773,84842,The product's item weight is 10 pounds (lb).
2774,84843,The width of the product is 14 inches.
2775,84844,The height of the product is 14 inches.
2776,84845,The depth of the product is 14 inches.
2777,84846,The width of the product is 6.68 inches (17.00 cm).
2778,84847,"The depth of the product is 35cm, which is approximately 13.7 inches."
2779,84848,The height of the product is 50 cm or 19.6 inches.
2780,84849,The depth of the product is 11 inches.
2781,84850,The product is 26.4 inches tall.
2782,84851,The width of the product is 40.2 cm.
2783,84852,The width of the product is 12 cm.
2784,84853,The depth of the product is 38 cm.
2785,84854,The depth of the product in the image is 45 cm.
2786,84855,The width of the product is 28cm (11.0 inches).
2787,84856,The product's item weight is 2.0 kg.
2788,84857,The maximum weight recommendation is 2.0 kg.
2789,84858,The height of the product is 3 inches.
2790,84859,The product has a height of 66 cm.
2791,84860,The height of the product is 51 cm.
2792,84861,The width of the product is 122 cm.
2793,84862,The depth of the product is 51 cm.
2794,84863,The product has a height of 44 cm.
2795,84864,"The width of the product is 2.7""."
2796,84865,The width of the product is 23.6 inches or 60 cm.
2797,84866,The depth of the product is 116 cm.
2798,84867,The width of the product is 6 cm.
2799,84868,The height of the product is 12 inches.
2800,84869,The depth of the product is 0.66 inches (17 millimeters).
2801,84870,The depth of the product is 0.5 cm.
2802,84871,The product's item weight is 40 pounds.
2803,84872,The depth of the product is 3 inches.
2804,84873,The width of the product is 3 inches.
2805,84874,The height of the product is 7 inches.
2806,84875,The height of the product is 90mm.
2807,84876,The height of the product is 2.8 inches.
2808,84877,The standard hanger size is 8.5 inches (22 cm) tall.
2809,84878,The width of the product is 31.3 inches.
2810,84879,The depth of the product is 2.5 cm (1 inch).
2811,84880,The height of the product is 2.5 cm (1 inch).
2812,84881,The depth of the product is 16.5 cm.
2813,84882,The product is 22 cm tall.
2814,84883,The depth of the product is 40 cm.
2815,84884,The height of the product is 40 cm.
2816,84885,The product's item weight is 330 lbs.
2817,84886,The maximum weight recommendation is 330 lbs.
2818,84887,The width of the product is 15 cm.
2819,84888,The width of the product is 33 cm or 12.99 inches.
2820,84889,The depth of the product is 33 cm or 12.99 inches.
2821,84890,The height of the product is 33 cm or 12.99 inches.
2822,84891,The product has a height of 11.8 inches (30 cm).
2823,84892,The objective lens of the binoculars has a diameter of 42mm.
2824,84893,The product is 36 inches tall.
2825,84894,The width of the product is 10.8 inches.
2826,84895,The depth of the product is 10.8 inches.
2827,84896,The height of the product is 5.5 inches.
2828,84897,The depth of the product is 3.8 inches (9.6 cm).
2829,84898,The product has a height of 3.8 inches (9.6 cm).
2830,84899,The width of the product is 5.7 inches (13.5 cm).
2831,84900,The height of the product is 3.35 inches.
2832,84901,The width of the product is 6 inches (15 centimeters).
2833,84902,The depth of the product is 6 inches (15 cm).
2834,84903,The height of the product is 190.5mm.
2835,84904,The product is 4 inches wide.
2836,84905,The product is 4 inches tall.
2837,84906,The product has a height of 12 inches.
2838,84907,The width of the product is 725mm.
2839,84908,The height of the product is 36.8 inches.
2840,84909,The depth of the product is 36.8 inches.
2841,84910,The height of the product is 13 cm (5.1 inches).
2842,84911,The depth of the product is 330mm or 12.99 inches.
2843,84912,The width of the product is 205mm or 8.07 inches.
2844,84913,The product has a height of 23.1 cm (9 inches).
2845,84914,The depth of the product is 13 cm.
2846,84915,The depth of the product is 200 cm.
2847,84916,The height of the product is 200 cm.
2848,84917,The product has a width of 9.5 cm (3.74 inches).
2849,84918,The depth of the product is 3 feet (90 cm).
2850,84919,The height of the product is 5 feet (150 cm).
2851,84920,The height of the product is 6.5 inches.
2852,84921,"The product is a set of three unframed prints. Each print measures 12x16 inches, and the total size of the set is 36x16 inches. The prints are made of natural pigment ink on a 300g thick natural cotton canvas. They are vibrant in color and have an elegant design. The product is perfect for home wall decoration."
2853,84922,The width of the product is 12 inches.
2854,84923,"The depth of the product is 20 cm, which is approximately 7.9 inches."
2855,84924,The product is 20 cm (7.9 inches) tall.
2856,84925,"The width of the product is 20 cm, which is 7.9 inches."
2857,84926,The height of the product is 90 cm.
2858,84927,The product is 16 cm tall.
2859,84928,The width of the product is 16 cm or 6.3 inches.
2860,84929,The depth of the product is 15 cm.
2861,84930,The width of the product is 11 cm.
2862,84931,The product is 33.9 inches tall.
2863,84932,The product has a height of 7.87 inches (20 cm).
2864,84933,The width of the product is 6.1 inches.
2865,84934,The product is 6.5 inches tall.
2866,84935,The height of the product is 37 inches.
2867,84936,The depth of the product is 3.36 inches.
2868,84937,The height of the product is 41.5 cm.
2869,84938,The width of the product is 24 inches.
2870,84939,"The width of the product is 19""."
2871,84940,The maximum weight recommendation is 5000 lbs.
2872,84941,The height of the product is 19.5 inches.
2873,84942,"The product is a replacement AC adapter, not a power supply. The wattage of the product is not directly visible in the image. However, the product is labeled as a 44W adapter."
2874,84943,"The product's item weight is not explicitly indicated in the image. However, the dimensions provided suggest that the product is relatively small and compact."
2875,84944,The depth of the product is 34 mm.
2876,84945,The width of the product is 34 cm.
2877,84946,The width of the product is 6.77 inches.
2878,84947,The depth of the product is 71mm.
2879,84948,The height of the product is 320 mm.
2880,84949,The height of the product is 3.3 inches.
2881,84950,The depth of the product is 18 cm.
2882,84951,The height of the product is 20 cm (7.8 inches).
2883,84952,The width of the product is 10.24 inches.
2884,84953,The maximum weight recommendation is 90 grams.
2885,84954,The product's item weight is approximately 90 grams.
2886,84955,The depth of the product is 30 cm.
2887,84956,The width of the product is 30 cm.
2888,84957,The height of the product is 40 cm.
2889,84958,The product is 6.26 inches wide.
2890,84959,The product is 17 inches deep.
2891,84960,The product size is 18 cm in length and 16 cm in width.
2892,84961,The width of the product is 18 cm.
2893,84962,The product's item weight is not explicitly indicated in the image.
2894,84963,The width of the product is 95.5 cm or 37.6 inches.
2895,84964,The product is 63 cm tall.
2896,84965,The product width is 63 cm.
2897,84966,The depth of the product is 63 cm.
2898,84967,The depth of the product is 12 inches.
2899,84968,The product is a 12-foot by 10-foot white cotton backdrop.
2900,84969,The width of the product is 10 feet.
2901,84970,The width of the product is 6 inches (15 cm).
2902,84971,The voltage rating of the product is DC 5V.
2903,84972,The wattage of the product is 2.25W.
2904,84973,The height of the product is 8.3 inches.
2905,84974,The width of the product is 8.3 inches.
2906,84975,The width of the product is 74 cm.
2907,84976,The product's item weight is 150 grams (0.33 pounds).
2908,84977,The width of the product is 4.4 inches.
2909,84978,The product has a height of 12 inches.
2910,84979,The depth of the product is 6 inches.
2911,84980,The width of the product is 6 inches.
2912,84981,The width of the product is 9 cm.
2913,84982,The width of the product is 14.75 inches (37.4 centimeters).
2914,84983,The width of the product is 0.5 cm.
2915,84984,The height of the product is 2.3 inches.
2916,84985,The depth of the product is 2.3 inches.
2917,84986,The width of the product is 2.3 inches.
2918,84987,The width of the product is 5.6 cm.
2919,84988,The width of the product is 9 inches.
2920,84989,The depth of the product is 12 inches.
2921,84990,The depth of the product is 19.6 inches.
2922,84991,The width of the product is 25.5 inches.
2923,84992,The product has a height of 7.87 inches.
2924,84993,The product has a height of 17.6 inches.
2925,84994,The product has a height of 5.1 inches.
2926,84995,The product has a height of 620mm.
2927,84996,The product is 6 inches tall.
2928,84997,The product is 9.8 inches tall.
2929,84998,The width of the product is 14.5 cm (5.7 inches).
2930,84999,The width of the product is 13.6 cm.
2931,85000,The depth of the product is 19.5 cm.
2932,85001,The height of the product is 8 inches.
2933,85002,The product has a height of 13.7 cm.
2934,85003,The height of the product is 21 cm (8.26 inches).
2935,85004,The depth of the product is 21 cm (8.26 inches).
2936,85005,The product has a width of 63mm.
2937,85006,The depth of the product is 63mm.
2938,85007,The depth of the product is 42 cm.
2939,85008,The width of the product is 7 inches.
2940,85009,The height of the product is 5 inches.
2941,85010,The depth of the product is 5 inches.
2942,85011,The depth of the product is 40 cm.
2943,85012,The width of the product is 2.7 inches.
2944,85013,The product has a height of 9.5 inches (24 cm).
2945,85014,"The depth of the product is 25mm, which is approximately 1 inch."
2946,85015,The product has a height of 19 inches.
2947,85016,The depth of the product is 14.5 inches.
2948,85017,The width of the product is 16.14 inches.
2949,85018,The product has a height of 12 cm.
2950,85019,The height of the product is 19 cm (7.48 inches).
2951,85020,The height of the product is 14.5 inches.
2952,85021,The depth of the product is 25 cm.
2953,85022,The height of the product is 42 cm.
2954,85023,The product is adjustable in height. It can be adjusted from 2.5 inches to 17.5 inches.
2955,85024,The width of the product is 5.7 cm.
2956,85025,The depth of the product is approximately 5.7 cm.
2957,85026,The product has a width of 70 cm.
2958,85027,The product has a height of 13.4 cm.
2959,85028,The product has a depth of 13.4 cm.
2960,85029,The depth of the product is 4.7 inches.
2961,85030,The height of the product is 4.7 inches.
2962,85031,The width of the product is 12 inches.
2963,85032,The product is 38 cm tall.
2964,85033,The product has a height of 6 inches (15.2 cm).
2965,85034,The height of the product is 5.1 inches.
2966,85035,The height of the product is 45 cm (17.71 inches).
2967,85036,"The height of the product is 3.5 cm, which is 1.4 inches."
2968,85037,The depth of the product is 3.5 cm (1.4 inches).
2969,85038,The depth of the product is 8 cm (3.14 inches).
2970,85039,The height of the product is 8 cm.
2971,85040,The depth of the product is 40 cm / 17.5 in.
2972,85041,The product is 7 feet (210 cm) long and 5 feet (150 cm) wide.
2973,85042,The product has a height of 7 feet (210 cm).
2974,85043,"The product is a PlayStation to HDMI converter. The label on the product indicates that it supports HDMI output. The power input is labeled as ""DC 5V/1A,"" which means it can provide 5V at 1A of power. Therefore, the wattage of the product is 5V x 1A = 5 watts."
2975,85044,The product in the image is a PlayStation to HDMI converter. The label on the converter indicates that it supports HDMI output. There is no indication of the weight of the product in the image.
2976,85045,The product's item weight is not explicitly indicated in the image.
2977,85046,The height of the product is 42 cm.
2978,85047,"The product has a telescopic design, which means it can be adjusted in height. The height of the product can be adjusted from 1.77 inches to 3.54 inches."
2979,85048,The width of the product is 12 inches.
2980,85049,The product has a height of 24 inches.
2981,85050,The depth of the product is 12 inches.
2982,85051,The height of the product is 8 cm (3.1 inches).
2983,85052,The height of the product is 14.8 inches.
2984,85053,The product has a height of 13.5 inches.
2985,85054,The width of the product is 32 cm.
2986,85055,The height of the product is 6.5 cm.
2987,85056,The height of the product is 103 cm.
2988,85057,The width of the product is 2.8 inches.
2989,85058,The product is 30cm high.
2990,85059,The depth of the product is 30cm.
2991,85060,The width of the product is 30cm.
2992,85061,The product has a height of 6.8 cm (2.67 inches).
2993,85062,The width of the product is 30.5 cm.
2994,85063,"The height of the product is 2.4 inches for the spoon, 2 inches for the spatula, 1.6 inches for the spatula, 10.6 inches for the spatula, and 9.5 inches for the spatula."
2995,85064,The width of the product is 2.5 cm (1 inch).
2996,85065,The depth of the product is 13.5 cm (5.31 inches).
2997,85066,The product has a height of 16 cm (6.29 inches) and 110 cm (43.3 inches).
2998,85067,The width of the product in the image is 3.5 inches.
2999,85068,The height of the product is 63.5 cm.
3000,85069,The product is a vertical banner with dimensions of 27.5 inches (length) and 10 inches (height).
3001,85070,The width of the product is 10 inches.
3002,85071,The height of the product is 27.5 inches.
3003,85072,The depth of the product is 8 inches.
3004,85073,The width of the product is 21 inches.
3005,85074,The height of the product is 21 inches.
3006,85075,The product has a height of 40.9 inches.
3007,85076,The height of the product is 11.25 inches.
3008,85077,The width of the product is 2.5 cm.
3009,85078,The depth of the product is 2.5cm.
3010,85079,The height of the product is 2.5cm.
3011,85080,The depth of the product is 0.01 inches.
3012,85081,The product is 60 inches tall.
3013,85082,"The width of the product is 60""."
3014,85083,The product has a height of 19.5 cm.
3015,85084,The product has a height of 19mm or 0.74 inches.
3016,85085,The width of the product is 19mm or 0.74 inches.
3017,85086,"The depth of the product is 47mm, which is approximately 1.85 inches."
3018,85087,The height of the product is 75mm or 2.95 inches.
3019,85088,The product has a height of 7.2 cm.
3020,85089,The width of the product is 7.2 cm.
3021,85090,The depth of the product is 6 inches (15 cm).
3022,85091,The product has a height of 6 inches (15 cm).
3023,85092,The width of the product is 6.5 cm.
3024,85093,The depth of the product is 6.5 cm.
3025,85094,The product is 26.5 cm tall.
3026,85095,The product's item weight is 0.5 kg (1.10 lb).
3027,85096,"The depth of the product is 10cm/3.94""."
3028,85097,The width of the product is 10cm (3.94 inches).
3029,85098,The product is described as having a depth of 9 inches.
3030,85099,The product is 9 inches tall.
3031,85100,The width of the product is 9 inches.
3032,85101,The depth of the product is 13cm (5.1 inches).
3033,85102,The product is 30mm tall.
3034,85103,The width of the product is 20.8 cm or 8.19 inches.
3035,85104,The height of the product is 22 cm (8.66 inches).
3036,85105,The height of the product is 4 inches.
3037,85106,The product is 1.02 inches wide.
3038,85107,The depth of the product is 1.02 inches.
3039,85108,The product is 8 feet tall.
3040,85109,"The product is a tri-fold gymnastic mat. The height of the mat can be determined by measuring the distance between the top of the mat and the bottom of the mat when it is folded. 

From the image, the height of the mat when folded is approximately 150mm."
3041,85110,The depth of the product is 150mm.
3042,85111,"The product is described as having a ""Handy Travel Size"" and ""Easy Refill,"" which suggests that it is designed for convenience and portability. The ""Rapid Refill by Pumping"" feature indicates that it is easy to refill, which is a practical advantage for users. The ""Vegan Leather"" material also suggests that it is designed to be environmentally friendly and luxurious."
3043,85112,The product is 3.35 inches tall.
3044,85113,The depth of the product is 12 cm.
3045,85114,The width of the product is 12 cm.
3046,85115,The height of the product is 15 cm.
3047,85116,The depth of the product is 7.5 cm.
3048,85117,The height of the product is 373 mm.
3049,85118,"The width of the product is 50mm, which is approximately 1.96 inches."
3050,85119,"The depth of the product is 56mm, which is approximately 2.2 inches."
3051,85120,The depth of the product is 1.5 inches.
3052,85121,The product is a triangular ruler with a height of 6 1/2 inches.
3053,85122,The width of the product is 5.0 cm.
3054,85123,The height of the product is 18.7 cm.
3055,85124,The depth of the product is 5.0 cm.
3056,85125,The width of the product is 90 cm (35.4 inches).
3057,85126,The height of the product is 90 cm (35.4 inches).
3058,85127,The width of the product is 19.7 cm (7.75 inches).
3059,85128,The depth of the product is 4.5 cm (1.77 inches).
3060,85129,The width of the product is 18.5 inches.
3061,85130,The height of the product is 3 inches.
3062,85131,The depth of the product is 3 inches.
3063,85132,The width of the product is 13 cm.
3064,85133,The depth of the product is 9 cm.
3065,85134,The width of the product is 0.63 inches.
3066,85135,The height of the product is 15 inches.
3067,85136,The product is 2.6 cm wide.
3068,85137,The width of the product is 5.9 inches.
3069,85138,The product includes a cake topper with dimensions of 6.5 inches in height and 5.9 inches in width.
3070,85139,The depth of the product is 5.9 inches.
3071,85140,The depth of the product is 18.25 inches.
3072,85141,The height of the product is 5.67 feet.
3073,85142,The depth of the product is 35cm or 13.7 inches.
3074,85143,The product has a power output of 65W.
3075,85144,The product's item weight is 1.97 inches.
3076,85145,The height of the product is 13 inches (33 cm).
3077,85146,The width of the product is 6.5 cm (2.55 inches).
3078,85147,The width of the product is 3.07 inches.
3079,85148,The depth of the product is 3.07 inches.
3080,85149,The product is 3.07 inches tall.
3081,85150,The product has a height of 22 cm.
3082,85151,The product has a width of 22 cm.
3083,85152,The product is 22 cm long.
3084,85153,The height of the product is 40 cm.
3085,85154,The height of the product is 80 cm.
3086,85155,The width of the product is 80 cm.
3087,85156,The product is a rectangular tablecloth with a blue checkered pattern. The dimensions of the product are 80 x 80 cm. The material of the product is wool.
3088,85157,The height of the product is 45 cm.
3089,85158,The depth of the product is 2mm.
3090,85159,The width of the product is 7.83 inches or 198 millimeters.
3091,85160,The depth of the product is 0.1 inches.
3092,85161,"The width of the product is 34 cm, which is approximately 13.38 inches."
3093,85162,The product has a height of 34 cm (13.38 inches).
3094,85163,The product has a height of 9 cm (3.54 inches).
3095,85164,The product has a height of 9.5 cm (3.7 inches).
3096,85165,The width of the product is 247MM.
3097,85166,The depth of the product is 1.9 inches.
3098,85167,The product has a height of 2.6 inches.
3099,85168,The depth of the product is 7.5 cm.
3100,85169,The depth of the product is 1500mm or 60 inches.
3101,85170,The depth of the product is 7 inches.
3102,85171,The product measures 7 inches in height.
3103,85172,The width of the product is 5 inches.
3104,85173,The height of the product is 280 cm.
3105,85174,The depth of the product is 280 cm.
3106,85175,The width of the product is 120 cm.
3107,85176,The width of the product is 35cm or 13.78 inches.
3108,85177,The product is 11.79 inches tall.
3109,85178,The depth of the product is 11.79 inches or 30 cm.
3110,85179,The width of the product is 11.79 inches or 30 centimeters.
3111,85180,The depth of the product is 4.8mm.
3112,85181,The width of the product is 12.5 inches.
3113,85182,The width of the product is 22 cm.
3114,85183,The width of the product is 14.25 inches.
3115,85184,The height of the product is 3.5 inches.
3116,85185,The width of the product is 2.1 inches (5.3 cm).
3117,85186,The depth of the product is 2.1 inches (5.3 cm).
3118,85187,The depth of the product is 4.3 inches.
3119,85188,The width of the product is 4.3 inches.
3120,85189,The width of the product is 63 cm.
3121,85190,The depth of the product is 43 cm.
3122,85191,The width of the product is 18.9 inches.
3123,85192,The width of the product is 16mm.
3124,85193,The product is 110mm tall.
3125,85194,The depth of the product is 89MM.
3126,85195,The height of the product is 5.25 inches.
3127,85196,The product has a width of 1.0m.
3128,85197,The product is 1.0m tall.
3129,85198,The height of the product is 180 cm.
3130,85199,The height of the product is 48 inches.
3131,85200,The width of the product is 16 cm.
3132,85201,The height of the product is 10 cm (3.9 inches).
3133,85202,The width of the product is 10 cm (3.9 inches).
3134,85203,The depth of the product is 10 cm (3.9 inches).
3135,85204,The product is a 1000W power supply.
3136,85205,The product's item weight is 1000 watts.
3137,85206,The product is 21 cm tall.
3138,85207,"The product is 4"" tall."
3139,85208,The product has a height of 15 cm.
3140,85209,The height of the product is 30 cm.
3141,85210,The width of the product is 30cm.
3142,85211,The depth of the product is 30cm.
3143,85212,The product is 20 inches tall.
3144,85213,The product is 20 inches tall.
3145,85214,The product is 20 inches wide.
3146,85215,"The height of the product is 30 cm, which is equivalent to 11.8 inches."
3147,85216,The width of the product is 30 cm or 11.8 inches.
3148,85217,The depth of the product is 30 cm (11.8 inches).
3149,85218,The width of the product is 9 inches.
3150,85219,The depth of the product is 9 inches.
3151,85220,The height of the product is 22.48 inches.
3152,85221,The height of the product is 18 inches or 45 cm.
3153,85222,The width of the product is 18 inches or 45 cm.
3154,85223,"The product is a custom pillow featuring a man's face. The size of the pillow is 18 inches by 18 inches, which is approximately 45 cm by 45 cm."
3155,85224,"The width of the product is 19.6 inches to 33.4 inches, which is approximately 50 to 85 centimeters."
3156,85225,The product has a width of approximately 150 mm.
3157,85226,The product has a height of approximately 307 mm.
3158,85227,The product has a height of 50 cm.
3159,85228,The depth of the product is 25mm.
3160,85229,The product has a height of 25mm.
3161,85230,"The height of the product is 60mm, which is equivalent to 2.36 inches."
3162,85231,The depth of the product is 4.33 inches.
3163,85232,"The height of the product is 8 cm, which is 3.14 inches."
3164,85233,"The depth of the product is 24 cm, which is approximately 9.44 inches."
3165,85234,The height of the product is 4 inches.
3166,85235,The depth of the product is 16 inches.
3167,85236,The height of the product is 2 meters.
3168,85237,The width of the product is 7cm.
3169,85238,The depth of the product is 7cm.
3170,85239,The depth of the product is 8 inches.
3171,85240,The height of the product is 19.88 inches.
3172,85241,The depth of the product is 3.9 inches or 10 cm.
3173,85242,The depth of the product is 24 inches.
3174,85243,The product is 32 inches tall.
3175,85244,The product has a height of 230 mm.
3176,85245,The depth of the product is 90 mm.
3177,85246,The width of the product is 20.9 inches.
3178,85247,The product is a Queen-sized bed. The height of the bed is 9 inches.
3179,85248,The height of the product is 15.7 inches (40 cm).
3180,85249,The product has a height of 40 cm.
3181,85250,The depth of the product is 25cm.
3182,85251,"The product's item weight is indicated in the image as follows:

- 10LB: purple
- 15LB: green
- 20LB: orange"
3183,85252,The depth of the product is 3.7 inches.
3184,85253,The height of the product is 3.7 inches.
3185,85254,The width of the product is 12 inches.
3186,85255,The depth of the product is 8 inches.
3187,85256,The width of the product is 15.7 inches.
3188,85257,The product has a height of 15.7 inches.
3189,85258,The product has a width of 6 inches.
3190,85259,The depth of the product is 4.4 inches.
3191,85260,The height of the product is 43 cm or 16.92 inches.
3192,85261,The product has a height of 55.2 inches.
3193,85262,The width of the product is 18.11 inches (46 cm).
3194,85263,The width of the product is 60 cm.
3195,85264,The height of the product is 65 cm.
3196,85265,The width of the product is 10.1 cm.
3197,85266,The product has a height of 7.87 inches.
3198,85267,The width of the product is 6.5 inches (16.5 cm).
3199,85268,The depth of the product is 6.5 inches (16.5 cm).
3200,85269,The product has a height of 23.6 inches.
3201,85270,The width of the product is 600 mm.
3202,85271,The width of the product is 110mm.
3203,85272,"The depth of the product is 14mm, which is 0.55 inches."
3204,85273,The depth of the product is 11.81 inches (30 cm).
3205,85274,The product has a width of 11.81 inches (30 cm).
3206,85275,The product is 11.81 inches tall.
3207,85276,The height of the product is 73 cm.
3208,85277,The width of the product is 60mm.
3209,85278,The height of the product is 8.74 inches.
3210,85279,The width of the product is 1.2 inches or 3.5 centimeters.
3211,85280,The depth of the product is 1.4 inches or 3.5 centimeters.
3212,85281,The height of the product is 42 cm.
3213,85282,The depth of the product is 5.6 cm (2.2 inches) for the larger cup and 7 cm (2.8 inches) for the smaller cup.
3214,85283,The width of the product is 5.6 cm (2.2 inches).
3215,85284,The depth of the product is 7.48 inches.
3216,85285,The width of the product is 7.48 inches.
3217,85286,The width of the product is 80 cm.
3218,85287,The product is a large mouse pad with dimensions of 80cm x 30cm.
3219,85288,The width of the product is 70mm.
3220,85289,The height of the product is 29.1 inches.
3221,85290,The product has a height of 21.5 cm (8.5 inches).
3222,85291,The depth of the product is 16 cm (6.3 inches).
3223,85292,The product has a height of 18 cm (7.08 inches).
3224,85293,The width of the product is 8 cm.
3225,85294,The height of the product is 7 cm.
3226,85295,The depth of the product is 18 cm (7.1 inches).
3227,85296,The height of the product is 18 cm (7.1 inches).
3228,85297,The depth of the product is 13CM.
3229,85298,The height of the product is 17 cm.
3230,85299,The product is 21mm deep.
3231,85300,The product is 2.1 inches tall.
3232,85301,The depth of the product is 2.4 inches.
3233,85302,The product has a height of 2.4 inches.
3234,85303,The width of the product is 2.4 inches.
3235,85304,The height of the product is 3.1 inches.
3236,85305,The product's item weight is 30W.
3237,85306,The wattage of the product is 30W.
3238,85307,The product parameters indicate the net weight of the cable clamp as 6 grams.
3239,85308,The image does not provide any labels indicating the maximum weight recommendation.
3240,85309,The depth of the product is 30cm.
3241,85310,The width of the product is 30cm.
3242,85311,The width of the product is 16 inches.
3243,85312,The product in the picture is a pillow. The height of the pillow is 16 inches.
3244,85313,The depth of the product is 50 cm.
3245,85314,The width of the product is 78mm.
3246,85315,The depth of the product is 5.1 inches.
3247,85316,The height of the product is 5.1 inches.
3248,85317,The width of the product is 93 cm.
3249,85318,"The depth of the product is 18.2mm, which is approximately 0.71 inches."
3250,85319,The product has a height of 51mm (2 inches).
3251,85320,The product has a weight of 128GB.
3252,85321,The depth of the product is 21.7 inches.
3253,85322,The width of the product is 21.7 inches.
3254,85323,The width of the product is 4.5 cm or 1.77 inches.
3255,85324,The depth of the product is 4.5 cm or 1.77 inches.
3256,85325,The height of the product is 4.5 cm or 1.77 inches.
3257,85326,The product has a height of 13.5 cm.
3258,85327,The product has a height of 79 mm (approximately 3 1/8 inches).
3259,85328,The width of the product is 23.2 inches.
3260,85329,The height of the product is 42 inches.
3261,85330,The depth of the product is 9.5 inches.
3262,85331,The height of the product is 9 inches.
3263,85332,The width of the product is 90mm.
3264,85333,The height of the product is 126mm.
3265,85334,The height of the product is 20 cm or 7.9 inches.
3266,85335,The depth of the product is 20 cm or 7.9 inches.
3267,85336,The product has a height of 67mm.
3268,85337,The height of the product is 24.4 inches or 62 centimeters.
3269,85338,The product's item weight is not explicitly indicated in the image.
3270,85339,The depth of the product is 85mm.
3271,85340,The width of the product is 85mm.
3272,85341,The height of the product is 240mm.
3273,85342,The product is 80 cm (31.5 inches) in depth.
3274,85343,The width of the product is 31.5 inches.
3275,85344,The product is 80 cm (31.5 inches) tall.
3276,85345,The product has a height of 150 mm.
3277,85346,The depth of the product is 50 mm.
3278,85347,The product is 25 cm tall.
3279,85348,The depth of the product is 14 cm or 5.5 inches.
3280,85349,The depth of the product is approximately 29.7 cm.
3281,85350,The height of the product is 42 inches.
3282,85351,The maximum weight recommendation is 420g.
3283,85352,The product's item weight is 420g.
3284,85353,The width of the product is 39.3 inches.
3285,85354,"The product is a HDMI cable with a length of 200 cm. The material is PVC, and the list number is 1."
3286,85355,The product's item weight is 200 cm.
3287,85356,The height of the product is 13 cm.
3288,85357,The depth of the product is 13 cm.
3289,85358,The depth of the product is 2.5 cm (0.98 inches).
3290,85359,The bottle is a standard wine bottle with a capacity of 750 milliliters (ml).
3291,85360,The depth of the product is 20 inches.
3292,85361,The depth of the product is 7 cm (2.8 inches).
3293,85362,The height of the product is 7 cm (2.8 inches).
3294,85363,The height of the product is 20 cm.
3295,85364,The product has a height of 15 inches.
3296,85365,The width of the product is 2.16 inches.
3297,85366,The depth of the product is 2.16 inches.
3298,85367,The product has a height of 2.6 inches.
3299,85368,The height of the product is 45.7 cm.
3300,85369,The product's item weight is not explicitly indicated in the image.
3301,85370,The product has a height of 3.9 inches.
3302,85371,The product's net weight is 3.5 lbs.
3303,85372,The height of the product is 3.5 inches (9 cm).
3304,85373,The depth of the product is 3.5 inches (9 cm).
3305,85374,The depth of the product is 2 1/2 inches.
3306,85375,The width of the product is 3 1/2 inches.
3307,85376,"The width of the product is 295mm (11.61"")."
3308,85377,The width of the product is 8 inches.
3309,85378,The depth of the product is 25cm.
3310,85379,The depth of the product is 19.7 inches (50 cm).
3311,85380,The height of the product is 15 inches (40 cm).
3312,85381,The product has a height of 16 cm (6.3 inches).
3313,85382,The width of the product is 19.7 inches.
3314,85383,The width of the product is 28cm.
3315,85384,The height of the product is 9.5 cm (3.74 inches).
3316,85385,The depth of the product is 2.8 inches.
3317,85386,"The depth of the product is 85mm, which is approximately 3.32 inches."
3318,85387,The product has a height of 9.8 cm (3.86 inches).
3319,85388,The width of the product is 13 inches.
3320,85389,The width of the product is 6 inches.
3321,85390,The depth of the product is 6 inches.
3322,85391,The product has a width of 192mm.
3323,85392,The product has a width of 45 cm (17.7 inches).
3324,85393,The depth of the product is 22 cm.
3325,85394,The product's item weight is not explicitly indicated in the image.
3326,85395,The voltage rating of the product is 133 MHz.
3327,85396,The product is 5 cm tall.
3328,85397,The product has a height of 4.9 inches.
3329,85398,The width of the product is 155CM.
3330,85399,The depth of the product is 120CM.
3331,85400,The depth of the product is 29.8 cm.
3332,85401,The width of the product is 23.2 cm.
3333,85402,The depth of the product is 1.8 cm.
3334,85403,The width of the product is 1.8 cm.
3335,85404,"The height of the product is 1.1 inches, which is 3 cm."
3336,85405,"The depth of the product is 1.1 inches, which is 3 cm."
3337,85406,The product has a height of 11 inches.
3338,85407,The width of the product is 30 inches.
3339,85408,The depth of the product is 30 inches.
3340,85409,The product's item weight is not explicitly indicated in the image.
3341,85410,The width of the product is 300MM.
3342,85411,The depth of the product is 9.5 cm.
3343,85412,The product has a height of 8 cm.
3344,85413,The height of the product is 4.5 inches.
3345,85414,The width of the product is 62 cm.
3346,85415,The product has a handle height of approximately 10 cm.
3347,85416,The height of the product is 10 cm (4 inches).
3348,85417,The depth of the product is 200cm.
3349,85418,The width of the product is 24 cm.
3350,85419,"The height of the product is 2.2 cm, which is 0.8 inches."
3351,85420,The width of the product is 3.54 inches or 9 cm.
3352,85421,The height of the product is 5 inches.
3353,85422,The product has a height of 29 cm.
3354,85423,The depth of the product is 183 cm.
3355,85424,The height of the product is 15 inches (38 cm).
3356,85425,The depth of the product is 2.7ft (82cm).
3357,85426,The adjustable height of the product is from 2.7 feet (82 cm) to 6.5 feet (200 cm).
3358,85427,The depth of the product is 24 inches.
3359,85428,The height of the product is 24 inches.
3360,85429,The width of the product is 24 inches.
